deployer,n_launches
0x36cd88b80d4d9c92a12842767a6d9fcb958316d1,9
0x217c644a659b67331e58b72302a0ebc002d54c26,9
0x40cf06ca8b5a445258d1db7bb79584f829ff9c15,9
0x1743a4e5d86a9af9b1b780491120d6062fa4d8d7,9
0xf81ed8d9608982d556d14d56af7815c07a298fc8,8
0x9696f165932ed585b4a03b8ea6d82a4f30838a58,8
0x034630d75b5bf951fbcaddf8bdb80ea33baf30aa,8
0x1ab4c874f16bdff5c96955417a0994c0e4f4afd3,8
0xdbcc6b3c672ac57a5f4825d9b2c55f39af8b1c9f,8
0xc32e35c9c386f875b8870abc8c173cddeeb4bc90,8
0xa16c200810754348e4650b85fb034a48faf5a8c0,8
0x23b1d1d6294713b9917d8a5c6ab8dd2ad35f87ce,8
0xb91d5425e8b2a62f332b347d0042bcb829f28e1b,8
0x90af676ad4837d872d858d4d3470ecd2ab5a2773,8
0x9c71c0f7bc6f5308e2189dfe27fcfc0a13976f2a,8
0x23faeea41ebe496d0e53ec2089408b282afbeb89,8
0x9619cd319ca35644e2b5b9dcef3d99636ef97e38,8
0x9c45b365191f77172aa5a41867fabfa29f123939,8
0xeefb0bc08b47098686a37b04a0c05fd73bfb8cb5,8
0xe72fdcf2d1ec7c5891a2d32e1db822f15608175d,8
0xfde184e650c6ece7137ebef152835b3e6d535598,8
0x166cd82324f1c77f96b83cb4ab279c214bb2aafc,8
0x486f37b775be211841d36ae3adfdb7ff5a8c82d6,8
0x6e5823a9f398549158ad3769b99f1fcb541038b4,8
0x050f4fc438917585ec131f1e2cd79ca10eb72330,8
0x253e7fef9ac5d3c22ddc89ae90cf1e0c6ad95241,8
0xb997a4d28b1ecfd449a2871ec5d61f48e5acf28c,8
0x6ea87d485916f84978656c1e8beb8931684ed0f7,8
0x9a0978e747374289917e037d78af20444466fbe6,8
0x9f20e3e2fb16810b488af34ce8ce94e3de04d982,8
0x1a535a8c6370918c76a53115cf3ccbf1f427b146,8
0xa05ab8296fd99bfbf2011807c766b8c3418ef75d,8
0xe1fd319d11fd81539102e58470f47768c15f94ed,8
0x8931139e2968f8a21644b8d6048dd5df693d697d,8
0x27c2e8dba23d35764d147f15eaafba481d591c8e,8
0x48f0f0711d43d38e452a71a328c63d4a28cf5ea2,8
0x4629fd1d2e89d9e1b7a46382a9ab3549da1e9999,8
0xc4e3ccbb4178bdd7eb2a524b99a0af42b12a3e82,8
0x6aff6774990f74aaa969b5c70783e5d9ea11a649,8
0xb370bf2d572ec3337ed2de382e7a311c2e745f4c,8
0x9f1acde8b5e176d3701743c5926562ff0e74eccf,8
0x7e91b404147edbc1f77e0a62727d5d9bac82ee48,8
0x004e91d107e885d298fadc66bf2cf868789fb000,8
0x34c2f3c236c744a144d78482166b4a30296ffc88,8
0x950ec5bf0c38c4a2e66c8b54f8c1ce2c9f1a71e7,8
0x7e8a21ed17f3945848a3a60551888d83a64d7f8b,8
0x5a3166387a9363da2642194e2cbd8f6ecabc8d94,8
0x3b3dabc732403de2363091261d3e3bd312450db8,8
0xa7f8b4e24d3bc6e5a7aa1d28cc77d167cfd1d1fd,8
0x2e31182450800ae7b66933d907376225d4f825ac,8
0x5b08d38fba14938e0868e3e4dcad6e170efd7acd,8
0x3c2579389f98dea46dacff6f055cf0468b741a20,8
0xd761845f9fdd4a871f1fd49b87fa0839e33d83e0,8
0xd6fbdc9af0163bbc6ddcef8deaa551f76d3bebf8,8
0xcdb09d89bc6489f598dd441d6c33c0530f2af8db,8
0x7b444d22f099fd238210161791de26d16c3cedf2,8
0x926dfe86bfaa931b4f6666effe5433fcc0a43a6c,8
0x30d0d1627af4b85fa1626d1e1e8f352ace5d0921,8
0xaadd7a2b7a79b14dbc590b529d756f78d094c9c6,8
0x60ae9123642f9387e4c6d4ef07ebe086bcfb0aa5,8
0x8badd614a0740fc711dadbb1fb187d3babf664c9,8
0xd343ecee09f2fa3d918b0118667996544268d9cf,8
0x601f6ba6f0cfb67f4c7463cf229331cf40c6908b,8
0x4c5d7f7f5bee1e425922b9b06716fe05fa78b777,8
0x52c48f06c77c4f500c145310e0e1ef41f62d415e,8
0x6708e1077e520b92cf4eebe8c4bbc8d04e5c1e43,8
0x03acd7b2c5e13c67803c612169704526765c5f38,8
0xa67c60c7b735e8a09dae22d0b2e5be7ebafdfd76,8
0xd961626c92872ea264f71c829baec668ae468df8,8
0xa150a7ca07438791ab506c6b7f93b1096e5e1f35,7
0xa99abfebd5602b085949b6e65789eb079532d040,7
0x9cec402099f41870773a5b8d08324d18f533b5d6,7
0x16922a4d6cbfeb072c1ef12a898557d7decbf9a6,7
0x39762c344eeab43a55b39c1a66f18b4f74dfed73,7
0x069d69d6f0e597e7ea7b7b8d4656d52e6b50a780,7
0x940068294929b5c561ec6881689793ae94bdcc3a,7
0xa1f95ca26519fb68ac06011ed5352735d1df8ba1,7
